method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_hybrid,1024,8,low,random,8,1,0.17587,0.18454,0.18190,0.19960,762.15430,1,0
row_owned_scalar,1024,8,low,random,8,1,0.17475,0.19555,0.18010,0.22500,767.03902,1,0
scalar_csr_cusparse,1024,8,low,random,8,1,0.52886,0.55344,0.53420,0.56850,253.45191,1,0
slot_grouped_cublas,1024,8,low,random,8,1,1.05046,1.48547,1.06660,1.49290,127.60227,8,0
row_owned_hybrid,1024,8,low,random,16,1,0.23069,0.23200,0.23610,0.24400,1162.10290,1,0
row_owned_scalar,1024,8,low,random,16,1,0.36941,0.61158,0.37550,0.61720,725.71030,1,0
scalar_csr_cusparse,1024,8,low,random,16,1,0.82349,1.06115,0.82900,1.07520,325.54597,1,0
slot_grouped_cublas,1024,8,low,random,16,1,1.05056,1.53133,1.05810,1.54750,255.18124,8,0
row_owned_hybrid,1024,8,low,random,32,1,0.30493,0.30810,0.31010,0.31930,1758.33768,1,0
row_owned_scalar,1024,8,low,random,32,1,0.70589,1.16381,0.71340,1.17020,759.56302,1,0
scalar_csr_cusparse,1024,8,low,random,32,1,1.64163,2.05366,1.65740,2.06050,326.60573,1,0
slot_grouped_cublas,1024,8,low,random,32,1,1.05818,1.27462,1.06750,1.28520,506.68923,8,0
row_owned_hybrid,1024,8,low,random,64,1,0.46573,0.64954,0.47200,0.65550,2302.48722,1,0
row_owned_scalar,1024,8,low,random,64,1,1.46778,1.71782,1.47710,1.72590,730.58344,1,0
scalar_csr_cusparse,1024,8,low,random,64,1,3.26954,3.45670,3.28420,3.46680,327.97706,1,0
slot_grouped_cublas,1024,8,low,random,64,1,1.08954,1.35485,1.09620,1.36960,984.21057,8,0
row_owned_hybrid,1024,16,low,random,8,1,0.48029,0.48166,0.48600,0.49130,557.56413,1,0
row_owned_scalar,1024,16,low,random,8,1,0.47917,0.70810,0.48540,0.71510,558.86737,1,0
scalar_csr_cusparse,1024,16,low,random,8,1,0.91939,1.14352,0.93480,1.15890,291.27006,1,0
slot_grouped_cublas,1024,16,low,random,8,1,2.10592,2.40803,2.20820,2.62210,127.16122,16,0
row_owned_hybrid,1024,16,low,random,16,1,0.44714,0.45139,0.45770,0.57660,1197.80716,1,0
row_owned_scalar,1024,16,low,random,16,1,0.87728,1.10822,0.88740,1.11480,610.50374,1,0
scalar_csr_cusparse,1024,16,low,random,16,1,1.48582,1.70512,1.50540,1.72210,360.46175,1,0
slot_grouped_cublas,1024,16,low,random,16,1,2.11619,2.27654,2.13060,2.28950,253.08795,16,0
row_owned_hybrid,1024,16,low,random,32,1,0.58640,0.77101,0.59390,0.77750,1826.68058,1,0
row_owned_scalar,1024,16,low,random,32,1,1.66768,1.88550,1.68150,1.89250,642.30873,1,0
scalar_csr_cusparse,1024,16,low,random,32,1,2.94928,3.12598,2.96210,3.13330,363.19557,1,0
slot_grouped_cublas,1024,16,low,random,32,1,2.15779,2.35286,2.16610,2.36380,496.41735,16,0
