method,block_rows,degree,distribution,locality,rhs,seed,gpu_median_ms,gpu_p95_ms,hot_median_ms,hot_p95_ms,useful_gflops,launches,workspace_bytes
row_owned_scalar,4096,8,low,random,8,1,1.06682,1.28662,1.07880,1.34150,500.61217,1,0
scalar_csr_cusparse,4096,8,low,random,8,1,2.07014,2.41910,2.08240,2.44790,257.98257,1,0
slot_grouped_cublas,4096,8,low,random,8,1,3.85296,4.20429,3.99340,4.21730,138.61059,8,0
row_owned_hybrid,4096,8,low,random,16,1,0.71286,0.88176,0.71780,1.07890,1498.35332,1,0
row_owned_scalar,4096,8,low,random,16,1,1.80336,2.03306,1.80890,2.04470,592.29556,1,0
scalar_csr_cusparse,4096,8,low,random,16,1,3.26234,3.82365,3.36630,3.84140,327.41021,1,0
slot_grouped_cublas,4096,8,low,random,16,1,3.91699,4.11626,4.06680,4.13580,272.68938,8,0
row_owned_hybrid,4096,8,low,random,32,1,0.83286,1.07123,0.83870,1.08440,2564.93768,1,0
row_owned_scalar,4096,8,low,random,32,1,3.65194,4.04205,3.66410,4.05610,584.96211,1,0
scalar_csr_cusparse,4096,8,low,random,32,1,6.68237,6.72387,6.70220,6.77330,319.68372,1,0
slot_grouped_cublas,4096,8,low,random,32,1,4.43194,4.80432,4.43870,4.81210,482.01155,8,0
row_owned_hybrid,4096,8,low,random,64,1,1.36742,1.56448,1.37460,1.57490,3124.47961,1,0
row_owned_scalar,4096,8,low,random,64,1,7.14733,7.75434,7.15670,7.77480,597.77423,1,0
scalar_csr_cusparse,4096,8,low,random,64,1,13.46637,13.92451,13.48580,13.94020,317.27104,1,0
slot_grouped_cublas,4096,8,low,random,64,1,5.45901,6.02048,5.47180,6.13480,782.64921,8,0
row_owned_hybrid,4096,16,low,random,8,1,1.93402,2.15283,1.94440,2.17270,551.27119,1,0
row_owned_scalar,4096,16,low,random,8,1,1.93850,2.16576,1.94650,2.18000,549.99716,1,0
scalar_csr_cusparse,4096,16,low,random,8,1,3.68317,3.91414,3.68970,3.92400,289.47018,1,0
slot_grouped_cublas,4096,16,low,random,8,1,7.85962,8.43997,7.88000,8.45910,135.65132,16,0
row_owned_hybrid,4096,16,low,random,16,1,1.37706,1.57315,1.38360,1.57950,1548.47340,1,0
row_owned_scalar,4096,16,low,random,16,1,3.49430,3.72160,3.50560,3.74260,610.23157,1,0
scalar_csr_cusparse,4096,16,low,random,16,1,6.04054,6.22077,6.05510,6.24570,353.00373,1,0
slot_grouped_cublas,4096,16,low,random,16,1,8.02934,8.66573,8.04210,8.68890,265.56773,16,0
row_owned_hybrid,4096,16,low,random,32,1,1.63184,1.97923,1.64420,1.98570,2613.41137,1,0
row_owned_scalar,4096,16,low,random,32,1,6.90448,7.08554,6.92080,7.11590,617.66696,1,0
scalar_csr_cusparse,4096,16,low,random,32,1,12.05072,12.48352,12.06730,12.52330,353.89330,1,0
